o,Tile Type,Value,Operation,Parameters,Description,History
ADD_INITIAL_COMMENT_FOR DOCUMENT,Comment,,,{commentText: string; curriculumFacet: boolean; curriculumSection: string; documentKey: string; documentTitle: string; documentType: string; documentUid: string} ,"A user places the first comment on a given document (e.g. the problem, teacher guide, their own teaching/planning documents, a peer’s teaching/planning documents)",
ADD_INITIAL_COMMENT_FOR_TILE,Comment,,,{commentText: string; curriculumFacet: boolean; curriculumSection: string; documentKey: string; documentTitle: string; documentType: string; documentUid: string} ,"A user places the first comment on a specific tile (e.g. text tile, graphing tool, image) within any document (e.g. the problem, teacher guide, the user’s own teaching/planning documents, a peer’s teaching/planning documents).",
ADD_RESPONSE_COMMENT_FOR_DOCUMENT,Comment,,,{commentText: string; curriculumFacet: boolean; curriculumSection: string; documentKey: string; documentTitle: string; documentType: string; documentUid: string} ,"A user places any additional comments on a given document (e.g. the problem, teacher guide, their own teaching/planning documents, a peer’s teaching/planning documents)",
ADD_RESPONSE_COMMENT_FOR_TILE,Comment,,,{commentText: string; curriculumFacet: boolean; curriculumSection: string; documentKey: string; documentTitle: string; documentType: string; documentUid: string} ,"A user places any additional comments on a specific tile (e.g. text tile, graphing tool, image) that has already been commented on. These tiles can be in any type of document (e.g. the problem, teacher guide, the user’s own teaching/planning documents, a peer’s teaching/planning documents).",
CHAT_PANEL_HIDE,Chat Panel,,,,"A user closes the chat panel, which is the area of the workspace where they can make and read comments on documents.",
CHAT_PANEL_SHOW,Chat Panel,,,,"A user opens the chat panel, which is the area of the workspace where they can make and read comments on documents",
CLOSE_STICKY_NOTES,Sticky Notes,,,{appMode: string; application: string; classHash: string; group: string; investigation: string; navTabsOpen: boolean; problem: string; problemPath: string; role: string; selectedNavTab: string; workspaceMode: string},A student closes a sticky note,
COLLAPSE_COMMENT_THREAD_FOR_DOCUMENT,,,,,,
COLLAPSE_COMMENT_THREAD_FOR_TILE,,,,,,
COPY_TILE,Global,,,{documentKey: string; documentTitle: string; documentType: string; documentUid: string; sectionId: string},User dragged in a tile from somewhere else,
CREATE_LEARNING_LOG,Learning Log,,,{Title: string},User created a new learning log,
CREATE_PERSONAL_DOCUMENT,Global,,,{Title: string},User created a new personal document,
CREATE_STICKY_NOTE,Teacher,,,"{targetGroupId: string; targetUserId: string; text: string; type: string ""group"" or ""user""}",A teacher types and sends a message/support to students,
CREATE_TILE,Global,,,"{documentKey: string; documentTitle: string; documentType: string; documentUid: string; objectType: string ""drawing"" ""geometry"" ""image"" ""table"" ""text""; sectionId: string}",A user creates a new tile in one of their documents,
DASHBOARD_DESELECT_STUDENT,Teacher,,,{groupID: string; studentID: string},A teacher clicks on a particular group in Dashboard view to return to the group view after viewing the work of a particular student,
DASHBOARD_SELECT_STUDENT,Teacher,,,{groupID: string; studentID: string},A teacher clicks on a particular student’s workspace in Dashboard view to see their work rather than the work of the whole group,
DASHBOARD_SWITCH_CLASS,Teacher,,,{classHash: string; className: string},A teacher switches to a new class in the dashboard view,
DASHBOARD_TOGGLE_TO_DASHBOARD,Teacher,,,,A teacher clicks on “Dashboard” at the top of the screen in order to show Dashboard view,
